"a.Country" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009"
"42" "Kazakhstan" NA NA NA NA NA NA NA NA NA NA NA NA 260.97 225.76 167.03 139.12 141.38 119.18 115.46 132.29 141.82 146.64 150.42 146.74 164.58 166.81 181.48 177.17 168.48 185.06
"43" "Argentina" 92.84 90.18 96.45 98.21 103.82 97.45 103.53 110.11 111.66 112.51 102.66 108.85 109.91 119.85 116.52 119.79 130.11 130.32 136.06 140.08 138.38 128.34 121.18 134.16 140.84 151.86 157.24 169.91 172.47 166.92
"44" "Venezuela" 94.27 101.53 101.61 96.09 96.14 96.4 104.33 105.71 104.06 108.02 109.73 111.48 111.72 113.54 119.41 124.41 133.29 134.96 142.29 133.09 134.45 148.7 146.7 133.64 142.98 145.88 150.83 155.12 164.31 161.96
"45" "Singapore" 29.41 30.89 32.69 32.49 34.44 33.44 41.34 46.03 49.01 53.35 57.73 61.18 68.11 75.85 81.89 82.97 98.49 100.25 104.54 104.89 107.64 111.96 110.26 112.66 126.4 133.85 140.1 151.51 161.23 161.12
"46" "Malaysia" 26.33 27.49 28.97 35.76 41.81 44.52 49.03 46.14 47.13 52.57 64.98 67.11 72.85 77.26 86.26 89.5 101.74 102.19 102.79 106.48 117.47 124.14 136.09 144.6 145.26 147.61 150.24 148.39 148.3 148.01
"47" "Pakistan" 33.67 36.36 42.42 41.57 42.48 46.61 50.79 56.03 58.22 62.09 66.98 68.09 70.17 77.79 84.96 87.69 95.22 95.79 99.16 106.47 109 104.06 103.56 105.39 110.98 117.51 131.04 141.24 139.71 140.29
"48" "Belgium" 135.69 138.05 129.16 114.29 118.77 119.24 120.68 119.86 117.02 123.52 125.27 129.94 124.42 125.72 135.29 138.84 142.65 145.52 150.72 143.03 148.1 145.29 142.22 150.92 153.35 150.83 142.33 141.72 154.76 137.36
"49" "Uzbekistan" NA NA NA NA NA NA NA NA NA NA NA NA 95.95 115.8 97.89 105.07 103.48 103.18 101.81 103.09 107.73 112.59 115.35 116.02 122.5 117.11 121.15 122.87 127.1 115.16
"50" "Algeria" 66.98 54.69 66 71.59 74.94 71.31 71.75 77.18 80.59 78.85 83.12 85.8 82.05 82.27 84.22 88.04 84.62 80.83 84.86 84.56 83.63 79.16 81.68 81.7 80.49 90.14 94.65 101.54 107.28 113.92
"51" "Iraq" 51.67 37.76 36.8 42.74 42.86 47.59 56.12 53.3 59.99 64.25 69.19 42.46 57.69 66.44 76.92 77.09 76.97 69.83 72.18 75.44 73.58 77.68 79.6 71.58 78.41 95.31 91.91 94.55 100 103.7
"52" "Greece" 51.97 52.57 51.14 54.47 55.85 60.62 63.69 69.72 74.8 78.11 81.5 81.42 79.59 83.3 84.73 85.84 86.73 91.17 96.99 95.64 101.29 103.12 102.39 106.18 105.16 105.33 105.72 109.47 106.04 100.37
"53" "Vietnam" 13.4 13.01 14.17 14.33 14.84 16.8 14.96 16.98 14.89 16.65 16.84 17.41 17.39 21.6 22.94 29.97 35.96 37.94 40.26 42.93 46.11 49.15 56.21 60.23 74.61 76.28 83.67 88.77 103.86 98.76
"54" "Czech Republic" NA NA NA NA NA NA NA NA NA NA NA NA NA 116.79 110.23 111.01 116.54 99.38 94.75 85.61 94.6 95.57 92.54 93.39 90.29 93.91 96.83 103.55 99.1 95.32
"55" "Hong Kong" 18.17 18.83 21.38 24.95 26.62 28.33 32.14 36.11 39.89 41.41 40.06 42.55 45.13 48.22 45.23 47.38 48.41 45.92 51.66 61.72 55.72 60.25 66.01 70 78.07 80.62 80.25 83.02 77.92 85.98
